FILEPATH;ERRCODE;INODE;TYPE;PERM;OWNER;OWNERID;GROUP;GROUPID;DAY;TIME;DEPTH;SIZE;NBLINES;MD5SUM;
.;;7536827;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;191343;0;;;;
./bat;;7528559;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;192111;1;;;;
./bat/fix_report.sh;;7485513;f;rwxrwxrwx;zidmann;1001;zidmann;1001;20200509;192111;2;8;142;26d46a14f69b26909e446b5a74c3ec58;
./bat/scan_dir_files.sh;;7479780;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;191258;2;8;144;acdb6aa214f87afca2282637ee1f7df6;
./conf;;7561263;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;191551;1;;;;
./conf/common.env;;7494849;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200508;141727;2;4;9;8f973977a9827e8a07aea754cbae626d;
./conf/fix_report.env;;7486603;l;rwxrwxrwx;zidmann;1001;zidmann;1001;20200509;191551;2;;;;
./conf/scan_dir_files.env;;7486608;l;rwxrwxrwx;zidmann;1001;zidmann;1001;20200509;191509;2;;;;
./log;;7528560;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;193014;1;;;;
./log/fix_report.Mr-Hyde.20200509.191820.log;;7486159;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200509;191820;2;4;8;9d20af62fd0a66b5bf01c9fda8aa754d;
./log/scan_dir_files.Mr-Hyde.20200509.193014.log;;7485957;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200509;193014;2;4;16;b641080a6023bfac0caed2897db61125;
./report;;7528564;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;193014;1;;;;
./report/scan_dir_files.Mr-Hyde.20200509.193014.csv;;7486373;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200509;193014;2;4;1;d5139d70c2cdc6ab601c282e7359ea42;
./tmp;;7528561;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200509;193014;1;;;;
./tmp/scan_dir_files.1.26315.tmp;;7486371;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200509;193014;2;4;5;1325a5741ad7133666509e6d722c2b56;
./tmp/scan_dir_files.2.26315.tmp;;7486372;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200509;193014;2;0;0;d41d8cd98f00b204e9800998ecf8427e;
./util;;7585995;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200508;182453;1;;;;
./util/analyze_file.sh;;7494850;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20200508;141727;2;4;91;cce4f358cf996ec114ac5202c4716568;
