ERRCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
	052aa56a6f33f4d6c32276626880f5a0	15	7478095	8	3267	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 23:08:05.366976668 +0100	2020-11-11 23:08:05.586978979 +0100	2020-11-11 23:08:05.586978979 +0100	./tmp/scan_dir_files.1.22708.tmp
	0670ecdf14bef5dface1b5859f5f6ec8	35	7482854	16	7588	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:07:27.230989412 +0100	2020-11-11 22:07:04.731256092 +0100	2020-11-11 22:07:04.731256092 +0100	./tmp/scan_dir_files.1.22703.tmp
	0670ecdf14bef5dface1b5859f5f6ec8	35	7482855	16	7588	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:07:04.731256092 +0100	2020-11-11 22:07:04.727256141 +0100	2020-11-11 22:07:04.727256141 +0100	./tmp/scan_dir_files.2.22703.tmp
	0c52ea7bc09c5a9c72fa2e4ae59a91a4	63	7471744	32	14369	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:20:01.414078458 +0100	2020-11-11 22:18:28.318413911 +0100	2020-11-11 22:18:28.318413911 +0100	./tmp/scan_dir_files.1.30460.tmp
	0c52ea7bc09c5a9c72fa2e4ae59a91a4	63	7472077	32	14369	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:20:01.186079226 +0100	2020-11-11 22:18:28.318413911 +0100	2020-11-11 22:18:28.318413911 +0100	./tmp/scan_dir_files.2.30460.tmp
	0e7b3424498a674f3dc53681f2177fb0	67	7478204	32	15327	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:20:50.861917667 +0100	2020-11-11 22:20:02.122076075 +0100	2020-11-11 22:20:02.122076075 +0100	./tmp/scan_dir_files.1.31543.tmp
	0e7b3424498a674f3dc53681f2177fb0	67	7478214	32	15327	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:20:02.122076075 +0100	2020-11-11 22:20:02.118076089 +0100	2020-11-11 22:20:02.118076089 +0100	./tmp/scan_dir_files.2.31543.tmp
	188c55c82aae787d28b30f188d52dc4e	53	7482938	24	11918	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:12:20.152335282 +0100	2020-11-11 22:12:20.148335311 +0100	2020-11-11 22:12:20.148335311 +0100	./tmp/scan_dir_files.1.26348.tmp
	188c55c82aae787d28b30f188d52dc4e	53	7482943	24	11918	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 22:12:20.148335311 +0100	2020-11-11 22:12:20.144335339 +0100	2020-11-11 22:12:20.144335339 +0100	./tmp/scan_dir_files.2.26348.tmp
	1f5fe86757b1d9d4a6b2961df450382c	157	7483871	8	386	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-11 01:07:08.036008756 +0100	2020-11-11 01:07:04.751991110 +0100	2020-11-11 01:07:04.775991238 +0100	./conf/letters_valid.conf
