STATUSCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
OK	1a966ebe27d3687cdb6eb6121d18874f	33	7478464	8	1527	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-25 21:40:24.653571895 +0100	2020-11-22 21:09:57.654304338 +0100	2020-11-22 21:09:57.654304338 +0100	./log/fix_report.Mr-Hyde.20201122.210957.log
OK	1f5fe86757b1d9d4a6b2961df450382c	157	7478936	8	386	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-25 21:40:24.653571895 +0100	2020-11-22 15:54:34.009050797 +0100	2020-11-22 15:54:34.025051964 +0100	./conf/letters_valid.conf
OK	258bd319e0cdcf245507b6a7367c4471	16	7479223	8	887	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-26 21:10:34.926934570 +0100	2020-11-26 21:10:34.950934666 +0100	2020-11-26 21:10:34.950934666 +0100	./log/scan_dir_files.Mr-Hyde.20201126.211034.log
OK	383cc79f82781c294d4c65f1f92cfcd3	225	7486554	24	8562	-rwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-26 21:05:34.489155897 +0100	2020-11-26 21:05:04.352896944 +0100	2020-11-26 21:05:04.376897158 +0100	./bat/fix_report.sh
OK	565894020820a1f56e09180fccfd52f0	7	7479259	8	1415	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-26 21:10:34.954934682 +0100	2020-11-26 21:10:35.082935189 +0100	2020-11-26 21:10:35.082935189 +0100	./tmp/scan_dir_files.1.5303.tmp
OK	6434629785c3b816409494e0f44b1df5	5	7483821	8	162	-rwxrwxr-x	1001	zidmann	1001	zidmann	2020-11-25 21:40:24.641571587 +0100	2019-09-16 08:37:54.076392051 +0200	2020-11-10 23:37:16.226891141 +0100	./bat/scan_pictures_metadata.sh
OK	692062bd3f30cb02ae38e7c9a87b2cca	1	7479227	8	139	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-26 21:10:34.950934666 +0100	2020-11-26 21:10:34.950934666 +0100	2020-11-26 21:10:34.950934666 +0100	./report/scan_dir_files.Mr-Hyde.20201126.211034.csv
OK	746786f1ac72c1a563ac81226bd6cdc0	1239	7479803	816	415046	-rw-rw-r--	1001	zidmann	1001	zidmann	2020-11-25 21:40:24.673572408 +0100	2020-11-22 16:28:07.400206385 +0100	2020-11-22 16:28:07.400206385 +0100	./tmp/fix_report.3.5493.tmp
OK			7486603	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-25 21:40:23.581544407 +0100	2020-05-09 19:15:51.129676463 +0200	2020-05-09 19:15:51.129676463 +0200	./conf/fix_report.env
OK			7486608	0	10	lrwxrwxrwx	1001	zidmann	1001	zidmann	2020-11-25 21:40:23.581544407 +0100	2020-05-09 19:15:09.985282993 +0200	2020-05-09 19:15:09.985282993 +0200	./conf/scan_dir_files.env
