FILEPATH;ERRCODE;INODE;TYPE;PERM;OWNER;GROUP;DAY;TIME;DEPTH;SIZE;NBLINES;MD5SUM;
../;;7536827;d;rwxrwxr-x;zidmann;zidmann;20190914;165725;1;;;;;
../bat;;7528559;d;rwxrwxr-x;zidmann;zidmann;20190914;170459;2;;;;;
../bat/scan_files.sh;;7482953;f;rwxrwxr-x;zidmann;zidmann;20190914;163936;3;8;130;9c7c094834fe8a1a1ff077ef2088d84f;;
../conf;;7528563;d;rwxrwxr-x;zidmann;zidmann;20190820;070340;2;;;;;
../conf/scan_files.env;;7482077;f;rw-rw-r--;zidmann;zidmann;20190820;070339;3;4;9;8f973977a9827e8a07aea754cbae626d;;
../log;;7528560;d;rwxrwxr-x;zidmann;zidmann;20190915;083931;2;;;;;
../log/scan_files.Mr-Hyde.20190915.083931.log;;7481237;f;rw-rw-r--;zidmann;zidmann;20190915;083931;3;4;16;e18802a269a04c90d887568c4b245c4e;;
../report;;7528564;d;rwxrwxr-x;zidmann;zidmann;20190915;083931;2;;;;;
../report/scan_files.Mr-Hyde.20190915.083931.csv;;7481250;f;rw-rw-r--;zidmann;zidmann;20190915;083931;3;4;1;f12a19f09fdc584dc2ef8595ff475ab6;;
../tmp/2.14974.tmp;;7481252;f;rw-rw-r--;zidmann;zidmann;20190915;083931;3;0;0;d41d8cd98f00b204e9800998ecf8427e;;
../tmp;;7528561;d;rwxrwxr-x;zidmann;zidmann;20190915;083931;2;;;;;
../tmp/scan_files.14974.tmp;;7481251;f;rw-rw-r--;zidmann;zidmann;20190915;083931;3;4;5;902e10a4f2f5244252fa79baea9d387e;;
../util;;7528558;d;rwxrwxr-x;zidmann;zidmann;20190914;123100;2;;;;;
../util/analyze_file.sh;;7482752;f;rwxrwxr-x;zidmann;zidmann;20190914;123100;3;4;80;dec6ffc3d4272036fc7517f426d8c811;;
