FILEPATH;ERRCODE;INODE;TYPE;PERM;OWNER;OWNERID;GROUP;GROUPID;DAY;TIME;DEPTH;SIZE;NBLINES;MD5SUM;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/;;7536827;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20190914;165725;6;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/bat;;7528559;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181920;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/bat/scan_files.sh;;7478498;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181920;8;8;130;1c35f901dde8a7c6855f9a8c854c1a4d;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/bat/scan_pictures_metadata.sh;;7483821;f;rw-rw-r--;zidmann;1001;zidmann;1001;20190916;083754;8;4;5;6434629785c3b816409494e0f44b1df5;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/conf;;7528563;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20190820;070340;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/conf/scan_files.env;;7482077;f;rw-rw-r--;zidmann;1001;zidmann;1001;20190820;070339;8;4;9;8f973977a9827e8a07aea754cbae626d;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/log;;7528560;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;182011;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/log/scan_files.Mr-Hyde.20191013.182011.log;;7498371;f;rw-rw-r--;zidmann;1001;zidmann;1001;20191013;182011;8;4;16;e110c89a5bea277ccaf35b77de99ae91;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/report;;7528564;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;182011;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/report/scan_files.Mr-Hyde.20191013.182011.csv;;7498980;f;rw-rw-r--;zidmann;1001;zidmann;1001;20191013;182011;8;4;1;d5139d70c2cdc6ab601c282e7359ea42;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/tmp;;7528561;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;182011;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/tmp/scan_files.1.9495.tmp;;7498983;f;rw-rw-r--;zidmann;1001;zidmann;1001;20191013;182011;8;4;5;e1e8dcdfcb2967a2ec94d3d0b99b0ea4;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/tmp/scan_files.2.9495.tmp;;7498984;f;rw-rw-r--;zidmann;1001;zidmann;1001;20191013;182011;8;0;0;d41d8cd98f00b204e9800998ecf8427e;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/util;;7528558;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181457;7;;;;;
/home/zidmann/Bureau/ProjetsInformatiques/FileAnalyzer/Linux/util/analyze_file.sh;;7478571;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181457;8;4;91;cce4f358cf996ec114ac5202c4716568;;
