STATUSCODE	MD5SUM	NBLINES	INODE	NBBLOCKS	SIZE	PERMISSION	OWNER	OWNERID	GROUP	GROUPID	LASTACCESS	LASTMODIFICATION	LASTSTATUSCHANGE	FILEPATH
OK	0c53c6608a32d69d49ea65753844c0e0	49	1310958	8	983	-rwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 00:23:55.068306978 +0100	2021-03-08 00:23:52.612292123 +0100	2021-03-08 00:23:52.640292293 +0100	./util/analyze_file.sh
OK			1310893	0	10	lrwxrwxrwx	1000	zidmann	1000	zidmann	2021-03-07 23:46:20.446234362 +0100	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/fix_report.env
OK			1310898	0	10	lrwxrwxrwx	1000	zidmann	1000	zidmann	2021-03-07 23:46:20.446234362 +0100	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/scan_dir_files.env
OK			1318951	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-07 23:46:20.446234362 +0100	2021-03-08 01:27:26.363812329 +0100	2021-03-08 01:27:26.363812329 +0100	.
OK			1318955	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 01:05:46.518158017 +0100	2021-03-08 00:35:39.577801483 +0100	2021-03-08 00:35:39.577801483 +0100	./bat
OK			1318957	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 00:06:10.247897233 +0100	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf
OK			1318959	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 00:24:05.596370537 +0100	2021-03-08 00:23:52.640292293 +0100	2021-03-08 00:23:52.640292293 +0100	./util
OK			1327168	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.355812277 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./report
OK			1327169	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.363812329 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./log
OK			1327179	8	4096	drwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.363812329 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./tmp
OK	1f5fe86757b1d9d4a6b2961df450382c	157	1310897	8	386	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 00:06:52.724376112 +0100	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/letters_valid.conf
OK	4cd13bc4bdaf12bc089c19405e893aa0	9	1310866	8	1747	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.471813042 +0100	2021-03-08 01:27:26.471813042 +0100	./tmp/scan_dir_files.1.9515.tmp
OK	65399a930e634b6aeeb2504a4079a953	230	1310889	16	7958	-rwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 00:36:39.658287644 +0100	2021-03-08 00:35:39.509800923 +0100	2021-03-08 00:35:39.577801483 +0100	./bat/fix_report.sh
OK	692062bd3f30cb02ae38e7c9a87b2cca	1	1310864	8	139	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./report/scan_dir_files.Mr-Hyde.20210308.012726.csv
OK	8f973977a9827e8a07aea754cbae626d	9	1310891	8	236	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 00:06:52.724376112 +0100	2021-03-07 23:46:20.442234349 +0100	2021-03-07 23:46:20.442234349 +0100	./conf/common.env
OK	d41d8cd98f00b204e9800998ecf8427e	0	1310869	0	0	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./tmp/scan_dir_files.2.9515.tmp
OK	d7a639e82281d2409e610a2038cacab2	195	1310890	16	6456	-rwxrwxr-x	1000	zidmann	1000	zidmann	2021-03-08 00:36:39.658287644 +0100	2021-03-08 00:29:17.522225320 +0100	2021-03-08 00:29:17.558225710 +0100	./bat/scan_dir_files.sh
OK	f0bcb38666116a5010acccfaa0336b7d	16	1310861	8	806	-rw-rw-r--	1000	zidmann	1000	zidmann	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	2021-03-08 01:27:26.371812382 +0100	./log/scan_dir_files.Mr-Hyde.20210308.012726.log
